Incident ID,Incident Date,State,City Or County,Address,Latitude,Longitude,Killed,Injured,Operations,label_col,Classification
2194885,22-Dec-21,Georgia,Fairburn,200 block of Misty Walk,33.5908087,-84.62733,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2195175,22-Dec-21,Louisiana,Jeanerette,1400 block of Main St,29.9110378,-91.6634483,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2193369,20-Dec-21,Oklahoma,Oklahoma City,5720 NW 16th St,35.4853617,-97.6168783,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2209201,20-Dec-21,Tennessee,Memphis,5001 Airways Blvd,35.0105893,-89.9912564,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2193058,19-Dec-21,Pennsylvania,Harrisburg,300 block of S 13th St,40.2615623,-76.8683351,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2193058,19-Dec-21,Pennsylvania,Harrisburg,300 block of S 13th St,40.2615623,-76.8683351,0,1,Children Involved,Killed: 0 Injured:1,Children injured by children
2193522,19-Dec-21,Illinois,Belvidere,628 Union Ave,42.2537576,-88.843235,3,0,Children Involved,Killed: 3 Injured:0,Children killed
2192392,17-Dec-21,Missouri,Saint Louis,4600 block of N 20th St,38.6706126,-90.2086485,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2192261,17-Dec-21,Texas,Lubbock,700 block of E Ursuline St,33.621323,-101.8292068,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2190610,15-Dec-21,Michigan,Detroit,16000 block of Liberal St,42.4398846,-82.9555119,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2190610,15-Dec-21,Michigan,Detroit,16000 block of Liberal St,42.4398846,-82.9555119,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2190873,15-Dec-21,California,Anaheim,300 block of E Valencia Ave,33.8255235,-117.9079045,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2190722,15-Dec-21,Pennsylvania,Philadelphia,2900 block of N Bambrey St,39.9995653,-75.1728582,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2190722,15-Dec-21,Pennsylvania,Philadelphia,2900 block of N Bambrey St,39.9995653,-75.1728582,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2189825,13-Dec-21,Indiana,Indianapolis,10202 John Jay Dr,39.8211485,-85.9896301,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2188603,12-Dec-21,Michigan,Benton Harbor,200 River Terrace Dr,42.1099208,-86.4609872,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2187270,11-Dec-21,Kentucky,Louisville,4400 block of Newport Rd,38.1780641,-85.6407085,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2190100,11-Dec-21,Florida,Fort Myers,5500 block of First Ave,26.6513379,-81.856828,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2190100,11-Dec-21,Florida,Fort Myers,5500 block of First Ave,26.6513379,-81.856828,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2190929,11-Dec-21,Georgia,Monticello,N/A,33.3048479,-83.6832289,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2186559,10-Dec-21,Georgia,Atlanta,3041 Landrum Dr SW,33.7072912,-84.4875973,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2186559,10-Dec-21,Georgia,Atlanta,3041 Landrum Dr SW,33.7072912,-84.4875973,0,1,Children Involved,Killed: 0 Injured:1,Children injured by children
2186925,10-Dec-21,Louisiana,Baton Rouge,River Rd and Brightside Dr,30.394826,-91.2060691,2,0,Children Involved,Killed: 2 Injured:0,Children killed
2185903,9-Dec-21,Georgia,Riverdale,6000 block of Westbury Rd,33.5824105,-84.3922596,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2185139,8-Dec-21,Washington,Seattle,14400 block of Tukwila International Blvd,47.4740204,-122.2840692,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2186328,8-Dec-21,New Mexico,Rio Rancho,5748 Sandoval Dr NE,35.3548542,-106.6146016,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2186328,8-Dec-21,New Mexico,Rio Rancho,5748 Sandoval Dr NE,35.3548542,-106.6146016,1,0,Children Involved,Killed: 1 Injured:0,Children killed by children
2186328,8-Dec-21,New Mexico,Rio Rancho,5748 Sandoval Dr NE,35.3548542,-106.6146016,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2184591,7-Dec-21,Ohio,Columbus,6652 Kodiak Dr,39.8622825,-82.8233654,3,0,Children Involved,Killed: 3 Injured:0,Children killed
2186123,7-Dec-21,Alabama,Birmingham,Tucker Ave,33.6003892,-86.7159571,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2184486,6-Dec-21,New York,Poughkeepsie,32 N White St,41.7013654,-73.9147409,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2183685,6-Dec-21,California,Los Angeles,1500 block of E Denni St,33.7853738,-118.2449758,1,2,Children Involved,Killed: 1 Injured:2,Children injured
2184845,6-Dec-21,Wisconsin,Milwaukee,3150 S 49th St,42.987161,-87.9750415,4,0,Children Involved,Killed: 4 Injured:0,Children killed
2182776,5-Dec-21,Texas,Houston,927 Blanchard Hill Ln,29.6170597,-95.4086289,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2183314,5-Dec-21,Texas,Douglass,13000 block of TX-21,31.6639019,-94.8443349,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2183286,5-Dec-21,Georgia,Savannah,100 block of E 64th St,32.0343696,-81.1058504,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2182891,5-Dec-21,Michigan,Detroit,16500 block of Woodingham Dr,42.4123408,-83.1496354,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2183158,5-Dec-21,Florida,Clearwater,1280 Druid Rd,27.9574405,-82.784386,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2183158,5-Dec-21,Florida,Clearwater,1280 Druid Rd,27.9574405,-82.784386,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2182488,4-Dec-21,Washington,Granite Falls,8600 block of WA-92,48.0900113,-121.9741572,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2182396,3-Dec-21,Alabama,Mobile,100 block of Dobbs Ave,30.6829609,-88.1185417,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2182261,3-Dec-21,Georgia,Lithonia,4200 block of Chestnut Lake Ave,33.6385684,-84.1203004,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2193530,3-Dec-21,South Carolina,Moncks Corner,S Live Oak Dr,33.1871011,-80.0196962,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2193530,3-Dec-21,South Carolina,Moncks Corner,S Live Oak Dr,33.1871011,-80.0196962,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2183429,3-Dec-21,South Carolina,Port Royal,1650 Ribaut Rd,32.388295,-80.68906,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2183429,3-Dec-21,South Carolina,Port Royal,1650 Ribaut Rd,32.388295,-80.68906,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2181840,3-Dec-21,Tennessee,Memphis,3885 Elvis Presley Blvd,35.0426426,-90.0256172,2,2,Children Involved,Killed: 2 Injured:2,Children injured
2181096,2-Dec-21,North Carolina,Elizabeth City,Perry St and Jordan St,36.2902379,-76.224773,3,3,Children Involved,Killed: 3 Injured:3,Children killed
2180973,2-Dec-21,Kentucky,Louisville,8200 block of Sandidge Dr,38.1296246,-85.6268117,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2179980,1-Dec-21,Georgia,Columbus,2500 block of Schaul St,32.4686184,-84.9552352,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2180041,1-Dec-21,Kansas,Kansas City,N 55th St and Georgia Ave,39.1357449,-94.7059026,2,2,Children Involved,Killed: 2 Injured:2,Children killed
2180041,1-Dec-21,Kansas,Kansas City,N 55th St and Georgia Ave,39.1357449,-94.7059026,2,2,Children Involved,Killed: 2 Injured:2,Children injured
2178901,30-Nov-21,Virginia,Covington,1600 block of E Dolly Ann Dr,37.7858115,-79.967015,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2178901,30-Nov-21,Virginia,Covington,1600 block of E Dolly Ann Dr,37.7858115,-79.967015,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2181047,30-Nov-21,Mississippi,Yazoo City,740 Shady Dr,32.8642899,-90.411652900000007,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2178231,29-Nov-21,Kentucky,Henderson,Powell St and S Adams St,37.8336892,-87.5895476,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2177651,28-Nov-21,Texas,Fort Worth,100 block of N Lamar St,32.7558834,-97.3366766,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2177241,28-Nov-21,Georgia,Atlanta,3144 Reeves Cir NW,33.7542882,-84.4883639,0,3,Children Involved,Killed: 0 Injured:3,Children injured
2177211,28-Nov-21,Alabama,Dothan,900 Block of Ussery St,31.214774,-85.386484,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2177211,28-Nov-21,Alabama,Dothan,900 Block of Ussery St,31.214774,-85.386484,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2177416,28-Nov-21,California,Lancaster,3500 block of Garnet Lane,34.6868372,-118.0672334,5,0,Children Involved,Killed: 5 Injured:0,Children killed
2176691,27-Nov-21,Ohio,Cincinnati,2479 Nottingham Dr,39.1568612,-84.5612204,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2175721,26-Nov-21,North Carolina,Durham,6910 Fayetteville Rd,35.9052172,-78.9439388,0,3,Children Involved,Killed: 0 Injured:3,Children injured
2176116,25-Nov-21,Pennsylvania,Whitehall,3rd St and Grape St,40.6362801,-75.4708569,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2176259,25-Nov-21,South Carolina,Blackstock,7134 Old Douglass Rd,34.4819848,-81.2514636,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2175762,25-Nov-21,Minnesota,Minneapolis (Brooklyn Park),8000 block of Florida Ave,45.1000147,-93.3637885,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2176170,25-Nov-21,Georgia,Atlanta,4555 Washington Rd,33.6315141,-84.4964913,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2176170,25-Nov-21,Georgia,Atlanta,4555 Washington Rd,33.6315141,-84.4964913,1,0,Children Involved,Killed: 1 Injured:0,Children killed by children
2175125,25-Nov-21,Pennsylvania,Bally,8500 block of Chestnut St,39.9600359,-75.263635,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2173281,22-Nov-21,Pennsylvania,Pittsburgh,100 block of Prescott Dr,40.4570935,-79.8138937,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2173190,22-Nov-21,Alabama,Mobile,Lemon St and Qual St,30.664642,-88.074372,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2173053,22-Nov-21,Pennsylvania,Pittsburgh,500 block of N Negley Ave,40.4678177,-79.9276931,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2173053,22-Nov-21,Pennsylvania,Pittsburgh,500 block of N Negley Ave,40.4678177,-79.9276931,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2172178,21-Nov-21,New Jersey,Passaic,Howe Ave and Lafayette Ave,40.858677,-74.1351917,0,5,Children Involved,Killed: 0 Injured:5,Children injured
2172821,21-Nov-21,Florida,Orlando,2700 Block of LB McLeod Rd,28.5099582,-81.4123976,1,1,Children Involved,Killed: 1 Injured:1,Children injured
2172201,21-Nov-21,Wisconsin,Nasewaupee,N/A,44.8356396,-87.4304449,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2172238,21-Nov-21,North Carolina,Burlington,1100 Block of Shaw St,36.110098,-79.430414,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2172398,21-Nov-21,Kentucky,Shelbyville,72 Zelkova Dr,38.2205553,-85.2413374,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2172082,21-Nov-21,Texas,Houston,5402 Renwick Dr,29.7232706,-95.4875966,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2171859,20-Nov-21,North Carolina,Robbins,Cummings Rd,35.4636655,-79.603634,0,4,Children Involved,Killed: 0 Injured:4,Children injured
2172458,20-Nov-21,Missouri,Saint Louis,1400 block of Castle Ln,38.4643749,-90.2933208,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2171764,20-Nov-21,Michigan,Detroit,15200 block of Evanston St,42.4073121,-82.9577382,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2171766,20-Nov-21,Tennessee,Memphis,4465 Poplar Ave,35.1170478,-89.9129117,1,1,Children Involved,Killed: 1 Injured:1,Children injured
2171632,19-Nov-21,Wisconsin,Milwaukee,3500 block of N 47th St,43.0825503,-87.9725001,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2170247,18-Nov-21,Maryland,Smithsburg,MD-418 and Midvale St,39.7078752,-77.5689664,4,0,Children Involved,Killed: 4 Injured:0,Children killed
2170871,18-Nov-21,Alabama,Birmingham,4500 block of 5th Ave S,33.5267234,-86.7648818,0,3,Children Involved,Killed: 0 Injured:3,Children injured
2170119,18-Nov-21,Alabama,Birmingham (Tarrant),1400 block of Park Ave,33.5837206,-86.7659313,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2170035,18-Nov-21,New Hampshire,Weare,299 N Stark Hwy,43.1089014,-71.7499916,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2170035,18-Nov-21,New Hampshire,Weare,299 N Stark Hwy,43.1089014,-71.7499916,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2170073,17-Nov-21,Pennsylvania,Philadelphia,1700 block of S Cleveland St,39.9301111,-75.1758074,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2170073,17-Nov-21,Pennsylvania,Philadelphia,1700 block of S Cleveland St,39.9301111,-75.1758074,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2168796,16-Nov-21,Washington,Snohomish,6600 block of 181st St SE,47.9361877,-121.9895328,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2168581,16-Nov-21,South Carolina,Easley,Hillcrest Dr,34.8351164,-82.608726,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2168581,16-Nov-21,South Carolina,Easley,Hillcrest Dr,34.8351164,-82.608726,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2168375,16-Nov-21,Ohio,Columbus,2800 block of Fleet Rd,39.9204404,-82.8557448,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2168733,16-Nov-21,Louisiana,New Orleans,Freret St and Josephine St,29.9419634,-90.0858746,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2169620,16-Nov-21,California,Sacramento,Seavey Cir,38.560557,-121.5115865,2,0,Children Involved,Killed: 2 Injured:0,Children killed
2168541,16-Nov-21,South Carolina,Newberry,Gray St,34.2796454,-81.6376879,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2168541,16-Nov-21,South Carolina,Newberry,Gray St,34.2796454,-81.6376879,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2169231,16-Nov-21,Texas,Del Rio,400 block of Rosita St,29.3514954,-100.88377,0,2,Children Involved,Killed: 0 Injured:2,Children injured by children
2169231,16-Nov-21,Texas,Del Rio,400 block of Rosita St,29.3514954,-100.88377,0,2,Children Involved,Killed: 0 Injured:2,Children injured self
2169160,16-Nov-21,Florida,Miami,Don Shula Expy and Killian Pkwy,25.7244346,-80.318479,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2167546,14-Nov-21,Texas,San Antonio,3644 Binz-Engleman Rd,29.4558087,-98.4261377,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2166826,14-Nov-21,Texas,Buna,168 Bean Rd,30.5049779,-93.9628406,0,2,Children Involved,Killed: 0 Injured:2,Children picked up/fired
2166826,14-Nov-21,Texas,Buna,168 Bean Rd,30.5049779,-93.9628406,0,2,Children Involved,Killed: 0 Injured:2,Children injured by children
2166826,14-Nov-21,Texas,Buna,168 Bean Rd,30.5049779,-93.9628406,0,2,Children Involved,Killed: 0 Injured:2,Children injured self
2167419,14-Nov-21,California,Oakland,7500 block of Sterling Dr,37.7721761,-122.1658183,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2216410,14-Nov-21,Pennsylvania,Tyrone,Bald Eagle Ave,40.673127,-78.2355091,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2166371,13-Nov-21,Georgia,Atlanta,2060 Alison Court SW,33.7005485,-84.4555694,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2165859,13-Nov-21,Alabama,Mobile,1200 block of Alba St,30.6627962,-88.0657399,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2165859,13-Nov-21,Alabama,Mobile,1200 block of Alba St,30.6627962,-88.0657399,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2167270,13-Nov-21,Georgia,Nashville,300 block of JD Nichols Rd,36.1626638,-86.7816016,1,1,Children Involved,Killed: 1 Injured:1,Children killed
2165600,12-Nov-21,Virginia,Richmond,3050 Nine Mile Rd,37.5420486,-77.4004211,2,2,Children Involved,Killed: 2 Injured:2,Children killed
2166281,12-Nov-21,Missouri,Florissant,6800 block of Foxshire Dr,38.7931967,-90.2349651,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2165583,12-Nov-21,Kentucky,Louisville,6817 Brooklawn Dr,38.1538156,-85.819167,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2165583,12-Nov-21,Kentucky,Louisville,6817 Brooklawn Dr,38.1538156,-85.819167,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2164703,11-Nov-21,Illinois,Chicago,7453 S State St,41.7584031,-87.6243454,0,3,Children Involved,Killed: 0 Injured:3,Children injured
2164176,10-Nov-21,Alabama,Birmingham,800 block of 44th Pl N,33.5371593,-86.7712427,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2164039,9-Nov-21,Illinois,Martinsville,N/A,39.3355924,-87.8819761,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2163617,9-Nov-21,South Dakota,Scotland,710 2nd St,43.1484399,-97.7192029,3,2,Children Involved,Killed: 3 Injured:2,Children injured
2161546,7-Nov-21,South Carolina,Greenville,Staunton Bridge Rd,34.7988993,-82.4461059,1,1,Children Involved,Killed: 1 Injured:1,Children killed
2161546,7-Nov-21,South Carolina,Greenville,Staunton Bridge Rd,34.7988993,-82.4461059,1,1,Children Involved,Killed: 1 Injured:1,Children injured
2161734,7-Nov-21,Oklahoma,Oklahoma City,1301 W Hefner Rd,35.5810007,-97.537375,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2238705,7-Nov-21,Iowa,Iowa City,550 Foster Rd,41.6809367,-91.5461962,0,1,Children Involved,Killed: 0 Injured:1,Children injured by children
2161687,6-Nov-21,Louisiana,Monroe,400 block of Desiard St,32.5032593,-92.1149669,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2161298,6-Nov-21,Florida,Seffner,5000 block of Pine St,27.9836329,-82.2756468,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2160866,6-Nov-21,California,Oakland,I-880 and Filbert St,37.8048623,-122.2843677,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2160274,5-Nov-21,Illinois,Chicago,8300 block of S Saginaw Ave,41.7445254,-87.5600424,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2162918,5-Nov-21,South Carolina,Round O,1350 Chisolm Rd,33.0218855,-80.544941,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2160142,4-Nov-21,North Carolina,Durham,1605 US-70 E,35.9495808,-78.8369814,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2159430,4-Nov-21,Illinois,Harvey,15300 block of Lexington Ave,41.6115569,-87.6498335,1,0,Children Involved,Killed: 1 Injured:0,Children killed
2157502,2-Nov-21,Louisiana,Lafayette,2504 E Simcoe St,30.2227892,-91.990982,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2157744,2-Nov-21,California,Willowbrook,1300 block of E Imperial Hwy,33.929086,-118.2518629,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2156143,1-Nov-21,North Carolina,Lenoir,542 Willow St NW,35.918003,-81.548593,2,1,Children Involved,Killed: 2 Injured:1,Children injured
2156862,1-Nov-21,Tennessee,Memphis,2645 Davey Dr,35.2433458,-89.9763876,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2156847,1-Nov-21,Tennessee,Nashville,2071 Oakwood Ave,36.209812,-86.7499069,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2156847,1-Nov-21,Tennessee,Nashville,2071 Oakwood Ave,36.209812,-86.7499069,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2156667,31-Oct-21,Arkansas,Little Rock,W 34th St,34.7193969,-92.3291211,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2155915,31-Oct-21,Texas,Houston,North Fwy and Loop 610,29.9400771,-95.4136118,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2156483,30-Oct-21,North Carolina,Roseboro,1100 Mill Creek Church Rd,34.9232546,-78.5221063,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2170476,30-Oct-21,Florida,Fort Pierce,100 block of Lilac Ter,27.4765434,-80.3385314,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2154826,30-Oct-21,Michigan,Lansing,6200 S Martin Luther King Jr Blvd,42.6689658,-84.5845474,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2155944,30-Oct-21,Colorado,Colorado Springs,1350 Pleier Dr,39.040866,-104.802521,4,0,Children Involved,Killed: 4 Injured:0,Children killed
2154659,30-Oct-21,Alabama,Birmingham,12 1st Ave SW,33.49734,-86.835038,0,1,Children Involved,Killed: 0 Injured:1,Children injured
2154063,29-Oct-21,Kansas,Emporia,N/A,38.403903,-96.1816626,0,1,Children Involved,Killed: 0 Injured:1,Children picked up/fired
2154063,29-Oct-21,Kansas,Emporia,N/A,38.403903,-96.1816626,0,1,Children Involved,Killed: 0 Injured:1,Children injured self
2241941,29-Oct-21,Virginia,Newport News,N/A,37.0870821,-76.4730122,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2241941,29-Oct-21,Virginia,Newport News,N/A,37.0870821,-76.4730122,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2154648,29-Oct-21,South Carolina,Columbia,2400 block of Blue Ridge Terrace,34.0935668,-81.0525978,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
2154648,29-Oct-21,South Carolina,Columbia,2400 block of Blue Ridge Terrace,34.0935668,-81.0525978,1,0,Children Involved,Killed: 1 Injured:0,Children killed self
2153463,28-Oct-21,Pennsylvania,Philadelphia,1100 block of S 56th St,39.9443243,-75.2337137,0,2,Children Involved,Killed: 0 Injured:2,Children injured
2153114,28-Oct-21,Texas,Houston,8301 Willow Pl Dr N,29.9616958,-95.5538938,1,0,Children Involved,Killed: 1 Injured:0,Children picked up/fired
